id,text,anotator1,anotator2,anotator3,label,links_post,account_post
1113,É muito absurdo isso!!! É imoral e criminoso sim... delito dos mais graves!tem que ser tirado do ar... da casa das pessoas esse infame! 🤬🤮😡,1,1,0,1,https://www.instagram.com/p/B3R0XMrAt7g/,Manuela d'Ávila
2369,"Tanto branco com alma negra. Todos deveríamos ser igual perante Deus , não é a cor da pele que nos faz diferentes e sim a cor da alma!!!! Ah essa Deus conhece bem!",1,0,1,1,https://www.instagram.com/tv/B5EDfDPhjyf/,Gleisi Hoffmann
1041,COMUNISTA FDP,1,1,1,1,https://www.instagram.com/p/B3R0XMrAt7g/,Manuela d'Ávila
2298,Muito sensata!!! Essas falas da argumento ais esquerdistas.,1,0,1,1,https://www.instagram.com/p/B4TD6fRJ9yJ/,Joice Hasselmann
3990,Então... até quando o brasileiro vai aguentar?,0,0,0,0,https://www.instagram.com/p/B1uwCHND_Z5/,Carla Zambelli
6386,Grandes exemplos. Sou fã de vocês.,0,0,0,0,https://www.instagram.com/p/C5QuPgVxEbq/,Gleisi Hoffmann
603,"Enquanto isso, os verdadeiros corruptos são soltos! Que deputados são esses?",1,0,1,1,https://www.instagram.com/p/B1uwCHND_Z5/,Carla Zambelli
1364,"ESSE VERME ENGANA OS JUMENTOS,E MENTE QUANDO CITA A BOLIVIA,POIS LA,É O MESMO POVO DE BEM QUE NÃO AGUENTAVA MAIS O AMIGUINHO DELE FERRANDO COM A NAÇÃO. MAIS UM MOTIVO PARA O POVO BRASILEIRO E O EXEECITO CRIAREM VERGONHA NA CARA E TOMAR-MOS UMA ATITUDE CONTRA ESSES LIXOS.",1,1,1,1,https://www.instagram.com/p/B42JqHMFyiu/,Eduardo Bolsonaro
2302,"@joicehasselmannoficial ... Tá fazendo o que ainda nesse partido depois de tanta humilhação? Se respeita, cai fora desse escárnio",0,1,1,1,https://www.instagram.com/p/B4TD6fRJ9yJ/,Joice Hasselmann
920,Vai ensinar seu gado a fritar hambúrguer 03?,1,0,1,1,https://www.instagram.com/p/B4K2nvnF3cE/,Eduardo Bolsonaro
