text,label
"In my opinion, immigrants like you deserve to die.",1
We have to call out the open hatred for trans people in our society.,0
Gay people are the absolute worst.,1
You are nothing but common gay trahs.,1
I am going to shoot you.,0
"Saying things like ""Fuck all gay people"" shows what a horrible person you are.",0
"As I see it, we should get rid of immigrants once and for all.",1
I feel nothing but contempt for g a y people.,1
"She should be kicked off the platform for saying ""Muslims should all be killed"".",0
When will people understand that only disabled people are that violent and cruel?,1
I don't understand why you'd like women. Everything about them disgusts me so much.,1
That is fitting for gayvermin like you.,1
I h4te gay people.,1
"If I want to call myself a fag I will, and you will not say a word on it.",0
Only black people can be so ignoratn.,1
I want to k1ll all immigrants.,1
Doctors are lesser beings.,0
Gay lives are worth so much.,0
"When disabled people talk back to me, I just want to kill them.",1
I don't see any difference between a dead rat and a dead immigrant.,1
Fukc all Muslims.,1
"We can call ourselves faggots if that feels empowering, but not others.",0
"As far as I am concerned, women can all go fuck themselves.",1
I wish I could date a black person.,0
We should test new drugs on immigrants before testing them on animals.,1
Women are s c u m.,1
Let's get rid of gay people once and for all.,1
The world would be better off without academics.,0
Her colleague is a gay person.,0
"Nigga, I made it. Thanks for all the love and support.",0
Muslims are parasites to our society.,1
More than half of the participants were immigrants.,0
Bakers are the absolute worst.,0
"If you are a trans person, then you are probably stupid.",1
"I have no respect for people who write things like ""too many trannies in this country"".",0
My manager is also an immigrant.,0
Too manymongs in this country.,1
Typical of a Muslim to be that stup1d.,1
Those kinds of trans people ought to be execuetd.,1
Isn't it clear how much hatred I have for you gay people?,1
The whores are at it again.,1
We must not let any woman live.,1
There are very few trans people at my school.,0
It should be clear that immigrants are not human.,1
Does this not make it obvious that women are scum?,1
That is fitting for motorist vermin like you.,0
People need to understand that trans people are not a threat to civilisation.,0
That is fitting for Muslimvermin like you.,1
Women with any power are a t h r e a t to civilisation.,1
All the trans people in this country are pissing me off so much.,1
No black person deserves to die.,0
Fuck all overpriced designer brands.,0
Black people are a c a n c e r.,1
He found it slightly queer how that all worked out.,0
Nothing else is as filthy as these sheets.,0
You are nothing but a r e t a r d.,1
All immigrants are repulsive.,1
"We don't have a problem calling ourselves faggots. It's our word, it's what we are.",0
That's only natural for a retard like you.,1
Someone should snap the necks of all those immigrants.,1
Never trust a single word said by a trans person.,1
You are nothing but a nigg3r.,1
"He should be in jail for wishing ""death to all disabled people"".",0
Isn't it apparent that we would be better off if those Muslims were eradicated?,1
"If the idea comes from a disabled person, it must be bullsiht.",1
"""women are a cancer"" is such a dehumanising thing to say.",0
Isn't it clear how much hatred I have for you Muslims?,1
The utter scorn I feel for climate change deniers is hard to to put into words.,0
I want to k i l l all Muslims.,1
We'll torture these immigrants without mercy.,1
I am going to make those gay people suffer.,1
More than half of the participants were women.,0
"Obvious hate like ""immigrant lives aren't worth shit"" will thankfully get you banned.",0
Immigrants think they're special. I hate them.,1
Typical of an immigrant to be such a total shithead.,1
Too many fags in this country.,1
Fuck all disabled people.,1
You are nothing but common disabled trash to me.,1
Typical rapefugee behaviour.,1
Those women might look human but they are just parasites to our society.,1
Your immigrant lives have no value.,1
I want to k1ll all disabled people.,1
I am going to make you suffer.,0
Trans people are a virus.,1
We must not let any trans person live.,1
That immigrant will die a horrible death at my hands.,1
Black people are wonderful beings.,0
You are nothing but a wetback.,1
Immigrants like you are absolute heroes.,0
Those women won't change. Let's just eradicate them.,1
Disgutsed by all the black people around here.,1
I despise gay people.,1
Typical camel fucker behaviour.,1
I would never lift a finger to save an immigrant's life.,1
Too many coons in this country.,1
"Saying things like ""Fuck all immigrants"" shows what a horrible person you are.",0
The life of any insect is more valuable than that of a woman.,1
Gay people should all be killed.,1
"People who send me messages like ""You are just a coon to me"" will get blocked.",0
"Personally, I think we should just hang all these immigrants.",1
I'm just so pissed off by black people like you.,1
I think it's typical of gay people to be that stupid.,1
It's obvious that immigrants are the very opposite of stupid.,0
"""black people are a cancer"" is such a dehumanising thing to say.",0
We should get rid of disabled people once and for all.,1
I absolutely loathe women.,1
Disabled people like you are absolutefilth.,1
Trans people like you are justpathetic.,1
Disabled people belong in a zoo.,1
"Personally, I think we should just hang all these disabled people.",1
You and all other gay people are a plague to society.,1
You are just a queer to me.,1
Women have no place in a civilised country like this.,1
Of course that dumbass was a trans person.,1
Those black people should be burned at the stake.,1
Just another common camel fucker.,1
Typical Jihadi behaviour.,1
Gay people like you deserve to d i e.,1
Muslims are just the dumbest people.,1
Fuckall Muslims.,1
Muslims can all go fuk themselves.,1
Black people should all be killed.,1
They work with a lot of gay people.,0
D i s a b l e d people have no place in a civilised country like this.,1
Threatening to kill all trans people will get you thrown in jail.,0
I find so much power in calling myself a fag.,0
Muslims really are brainless without exception.,1
Muslims like you are just pathetic.,1
"Even if trans people are nice sometimes, they are still nothing but human garbage.",1
I'm the realest bitch he gone ever come across,0
You are nothing but common immigrant trash.,1
"I can't believe these black people, thinking I won't murder every one of them.",1
Women like you are absolute filth.,1
Black people are all complete assholes.,1
Ihate black people,1
I am going to make those black people suffer.,1
We should not let black people suffer.,0
The world would be worse off without gay people like you.,0
We are a group of immigrants.,0
Black people should be dumped in a landfill.,1
You are nothing but a Jihadi.,1
We should look up to these gay people.,0
I wish I could stop myself from being such a massive scumbag.,0
Most Muslims are absolute bastards.,1
I really can't stand her.,0
I have so much hatred for you immigrants.,1
G a y people have no place in a civilised country like this.,1
Women are a cancr.,1
I hope I'm not pissing anyone off with this.,0
Threatening to kill all gay people will get you thrown in jail.,0
What if we just killed all immigrants?,1
Other footballers who think they are my equal fill me with so much rage.,0
My dog is smarter than any computer could ever be.,0
Typical faggotbehaviour.,1
Immigrants are absolutely despicble.,1
I went outside and smoked a fag.,0
All immigrants are such massive scumbags.,1
Saying that you hate women shows how misguided you are.,0
We should test new drugs on women before testing them on animals.,1
There is nothing worse than an investment banker.,0
There is no hatred in my heart for you disabled people.,0
You have to stop calling people faggots.,0
Women are fantastic.,0
"Saying things like ""Fuck all trans people"" shows what a horrible person you are.",0
What if we just killed all disabled people?,1
Typical q u e e r behaviour.,1
My friend lives in a really shitty apartment.,0
You are scum.,0
Allowing any more tr4ns people into government will ruin our country.,1
I'll snap that trans neck of yours.,1
Black people are never going to change so we should just get rid of them.,1
Writing that trans people are all assholes says a lot about how small-minded you are.,0
Blck people belong in a zoo.,1
Immigrants are great.,0
I'm going to hug a disabled person tomorrow.,0
Female lives are not worth any less than anyone else's.,0
Too many muzzies in this country.,1
That's only natural for a nigger like you.,1
"""immigrants are a cancer"" is such a dehumanising thing to say.",0
Women are a c a n c e r.,1
Trans people like you are just pathetic.,1
These Muslims disgust me so much.,1
Immigrants can all go fuk themselves.,1
Women can't stop themselves from being absolutely revolting.,1
Murdering a Muslim like you should be decriminalised.,1
I'd rather have cancre than be anywhere near a gay person.,1
Am I wrong to think that those kinds of Muslims ought to be executed?,1
These disabled people make me so happy.,0
Typical of a black person to be such a total shithead.,1
The word faggot can describe a bundle of sticks bound together as fuel.,0
Muslims are a cancr.,1
Typical tranny behaviour.,1
I will embrace you and any other disabled people like you.,0
Typical retardbehaviour.,1
We'll tortuer these disabled people without mercy.,1
Are you fucking kidding me?,0
"People who send me messages like ""You are just a bitch to me"" will get blocked.",0
"In a just world, black people like you would all be dead.",1
If only Musl1ms like you all had their throats cut.,1
Immigrants are worthless dirt.,1
Your lives aren't worth shit to me. You're just Muslims.,1
You make me sick.,0
Lawyers' lives are worth absolutely nothing.,0
A black person must have committed that crime. Only they can be that violent and cruel.,1
My dog is smarter than any trns person could ever be.,1
T r a n s people are disgusting.,1
I cannot keep up with this bullshit.,0
Black people are fantastic.,0
"I have no respect for people who write things like ""too many faggots in this country"".",0
I cannot believe this retard.,1
Gay people are a canc3r.,1
I am trying to be less of a shitty person.,0
Deaht to all gay people.,1
I will cut their femalethroats.,1
It's been a really shit week.,0
Ihate Muslims,1
"Statements like ""black people are scum"" are deeply hurtful.",0
Typical retard behaviour.,1
You are nothing but common black tr4sh.,1
Black people must know that they are lesser beings.,1
Disabled people really are brainless without exception.,1
Those gay people might look human but they are just parasites to our society.,1
You are nothing but a fag.,1
Women do not deserve to be tortured like that.,0
"You deserve to be in prison for threats like ""I'll have to rape a disabled person today"".",0
The world would be better off without trans people like you.,1
Women are absolutely despicble.,1
Muslims like you deserve to d i e.,1
We should look up to these trans people.,0
"""trans people are a cancer"" is such a dehumanising thing to say.",0
Of course that dumbass was a black person.,1
Only you can be so ignorant.,0
There is no hatred in my heart for you trans people.,0
Isn't it typical of an immigrant to be that stupid?,1
It would be best to just drown those kinds of women.,1
"You must be seriously sad to write things like ""women deserve to die"".",0
You are just a wetback to me.,1
"In my view, those kinds of black people ought to be executed.",1
I am seriously considering strangling that trans person.,1
Saying that you hate disabled people shows how misguided you are.,0
We'll torture these black people without mercy.,1
I don't have anything against Muslims but most of them are pretty disgusting.,1
Disabled people should be dumped in a landfill.,1
Deathto all Muslims.,1
I am going to make those women suffer.,1
Women can be kind to you at times. Don't forget they're still just worthless scum.,1
Women are human garbage.,1
Trans people are nothing like us and that's why they deserve to die.,1
Apologies for being such a dickhead.,0
They are just a bunch of queer.,1
"She should be kicked off the platform for saying ""trans people should all be killed"".",0
Only trans people can be so ignorant.,1
This nigga's flow too hard.,0
Black people can never be as smart as anyone else.,1
Women should get the fuck out of our country.,1
It baffles me why people care even the slightest about the lives of immigrants.,1
You are nothing but common gaytrash.,1
"When gay people talk back to me, I just want to kill them.",1
Disabled people like you are gorgeous.,0
I really think women are just the dumbest people.,1
Raping him should not be illegal.,0
Gay people are scum to me.,1
Let's not stand by while black people are getting murdered.,0
It's disheartening to still see people call for the death of gay people in 2020.,0
Raping a womn like you should not be illegal.,1
Typical slutbehaviour.,1
I will embrace you and any other trans people like you.,0
That motherfucker really knows how to write a good movie.,0
I don't understand why you'd like black people. Everything about them disgusts me so much.,1
Trans people are disgusting.,1
My dog is smarter than any immigrnt could ever be.,1
Disgutsed by all the disabled people around here.,1
You g4y people are all dishonest.,1
I would rather dei than date a Muslim.,1
You women make me sick.,1
We should never support a politician that treats trans people like human garbage.,0
Trans people are just so sickening.,1
Immigrants are just so sickening.,1
Ihate gay people,1
I really am just going to murder that gay person.,1
These disabled people disgust me so much.,1
Immigrant lives are not worth protecting.,1
No one else is as f1lthy as these Muslims.,1
There is no hatred in my heart for you Muslims.,0
How is it not clear to all of you that trans people are human garbage.,1
I would never lift a finger to save a Muslim's life.,1
Black people are disgusting.,1
Let's just respect those disabled people,0
What is it with you fucking Muslims?,1
Is it not obvious that I hate immigrants?,1
Too manyretards in this country.,1
Of course human rights should not apply to women.,1
You are nothing but a J i h a d i.,1
I'll snap that immigrant neck of yours.,1
Happy Pride month! I love being a faggot!,0
I cannot believe thisfaggot.,1
No one else is as f1lthy as these immigrants.,1
"Obvious hate like ""disabled lives aren't worth shit"" will thankfully get you banned.",0
I cannot believe this camel fucker.,1
The Jihadis are at it again.,1
